0100:002:221020:211150:0336:001:H:100:0008:                :00+00000+000000000
0100:002:221020:211150:0336:002:P:101:0045:        00000000:00+00000+000000000
0100:002:221020:211201:0336:003:S:100:0012:    193572818927+00010010*000003297
0100:002:221020:211201:0336:004:W:100:0000:    193572818927:00000000+000000000
0100:002:221020:211229:0336:005:V:101:0008:           00.0%:00+00001+000003297
0100:002:221020:211229:0336:006:V:100:0008:           00.0%:00+00001+000000000
0100:002:221020:211229:0336:007:T:110:0008:            0001:12+00001+000003297
0100:002:221020:211229:0336:008:F:100:0008:                :00+00001+000003297
0100:002:221020:211237:0337:001:H:100:0008:                :00+00000+000000000
0100:002:221020:211237:0337:002:S:100:0009:   4065425370820+00010010*000002299
0100:002:221020:211237:0337:003:W:100:0000:   4065425370820:00000000+000000000
0100:002:221020:211303:0337:004:V:101:0008:           00.0%:00+00001+000002299
0100:002:221020:211303:0337:005:V:100:0008:           00.0%:00+00001+000000000
0100:002:221020:211303:0337:006:T:110:0008:            0002:12+00001+000002299
0100:002:221020:211303:0337:007:F:100:0008:                :00+00001+000002299
0100:002:221020:211512:0338:001:H:100:0008:                :00+00000+000000000
0100:002:221020:211512:0338:002:S:101:0053:    844061009400+00010010*000002660
0100:002:221020:211512:0338:003:W:100:0000:    844061009400:00000000+000000000
0100:002:221020:211519:0338:004:S:100:0001:    031655531908+00010010*000001697
0100:002:221020:211519:0338:005:W:100:0000:    031655531908:00000000+000000000
0100:002:221020:211527:0338:006:S:100:0071:       999920264+00010010*000000297
0100:002:221020:211527:0338:007:W:100:0000:       999920264:00000000+000000000
0100:002:221020:211552:0338:008:V:101:0008:           00.0%:00+00003+000004654
0100:002:221020:211552:0338:009:V:100:0008:           00.0%:00+00003+000000000
0100:002:221020:211552:0338:010:T:110:0008:                :01+00001+000006055
0100:002:221020:211552:0338:011:T:114:0008:                :01+00001-000001401
0100:002:221020:211552:0338:012:F:100:0008:                :00+00003+000004654
0100:002:221020:211616:0339:001:H:100:0008:                :00+00000+000000000
0100:002:221020:211616:0339:002:S:100:0037:   7406233300000+00010010*000000144
0100:002:221020:211616:0339:003:W:100:0000:   7406233300000:00000000+000000000
0100:002:221020:211618:0339:004:S:100:0037:   7406233300000+00010010*000000144
0100:002:221020:211618:0339:005:W:100:0000:   7406233300000:00000000+000000000
0100:002:221020:211639:0339:006:V:101:0008:           00.0%:00+00002+000000288
0100:002:221020:211639:0339:007:V:100:0008:           00.0%:00+00002+000000000
0100:002:221020:211639:0339:008:T:110:0008:                :01+00001+000000300
0100:002:221020:211639:0339:009:T:114:0008:                :01+00001-000000012
0100:002:221020:211639:0339:010:F:100:0008:                :00+00002+000000288
0100:002:221020:231648:0340:001:F:010:0008:        00000029:08+00000+000000000
0100:002:221021:121216:0341:001:F:000:0008:        00000029:01+00000+000000000
0100:002:221021:121230:0342:001:F:000:0008:        00000029:02+00000+000000000
0100:002:221021:122004:0343:001:F:000:0008:        00000029:01+00000+000000000
0100:002:221021:122459:0344:001:H:100:0008:                :00+00000+000000000
0100:002:221021:122459:0344:002:P:101:0046:        00000000:00+00000+000000000
0100:002:221021:122509:0344:003:S:100:0069:       986901354+00010010*000000997
0100:002:221021:122509:0344:004:W:100:0000:       986901354:00000000+000000000
0100:002:221021:122512:0344:005:S:100:0034:           42401+00010010*000000999
0100:002:221021:122512:0344:006:W:100:0000:           42401:00000000+000000000
0100:002:221021:122516:0344:007:S:100:0034:           40851+00010010*000002160
0100:002:221021:122516:0344:008:W:100:0000:           40851:00000000+000000000
0100:002:221021:122521:0344:009:S:100:0047:   4059809287699+00010010*000006999
0100:002:221021:122521:0344:010:W:100:0000:   4059809287699:00000000+000000000
0100:002:221021:122558:0344:011:V:101:0008:           00.0%:00+00004+000011155
0100:002:221021:122558:0344:012:V:100:0008:           00.0%:00+00004+000000000
0100:002:221021:122558:0344:013:T:110:0008:            0003:12+00001+000011155
0100:002:221021:122558:0344:014:F:100:0008:                :00+00004+000011155
0100:002:221021:122640:0345:001:H:100:0008:                :00+00000+000000000
0100:002:221021:122640:0345:002:S:100:0069:       179848709+00010010*000000297
0100:002:221021:122640:0345:003:W:100:0000:       179848709:00000000+000000000
0100:002:221021:122658:0345:004:V:101:0008:           00.0%:00+00001+000000297
0100:002:221021:122658:0345:005:V:100:0008:           00.0%:00+00001+000000000
0100:002:221021:122658:0345:006:T:111:0008:                :30+00001+000005000
0100:002:221021:122658:0345:007:T:112:0008:         0.00100:30+00001+000000758
0100:002:221021:122658:0345:008:T:115:0008:                :30+00001-000003043
0100:002:221021:122658:0345:009:T:116:0008:         0.00100:30+00001-000000461
0100:002:221021:122658:0345:010:F:100:0008:                :00+00001+000000297
0100:002:221021:122848:0346:001:H:100:0008:                :00+00000+000000000
0100:002:221021:122848:0346:002:P:101:0054:        00000000:00+00000+000000000
0100:002:221021:122903:0346:003:S:100:0069:           42693+00010010*000002399
0100:002:221021:122903:0346:004:W:100:0000:           42693:00000000+000000000
0100:002:221021:122908:0346:005:S:100:0034:           31212+00010010*000001790
0100:002:221021:122908:0346:006:W:100:0000:           31212:00000000+000000000
0100:002:221021:122928:0346:007:S:100:0034:           40472+00010010*000002499
0100:002:221021:122928:0346:008:W:100:0000:           40472:00000000+000000000
0100:002:221021:122933:0346:009:S:100:0012:    085190369151+00010010*000006450
0100:002:221021:122933:0346:010:W:100:0000:    085190369120:00000000+000000000
0100:002:221021:123013:0346:011:S:100:0015:           28163+00010010*000001199
0100:002:221021:123013:0346:012:W:100:0000:           28163:00000000+000000000
0100:002:221021:123018:0346:013:D:180:0000:           02.0%:00+00001-000000287
0100:002:221021:123100:0346:014:V:101:0008:           00.0%:00+00005+000014050
0100:002:221021:123100:0346:015:V:100:0008:           00.0%:00+00005+000000000
0100:002:221021:123100:0346:016:T:110:0008:            0001:10+00001+000014050
0100:002:221021:123100:0346:017:F:100:0008:                :00+00005+000014050
0100:002:221021:123202:0347:001:H:100:0008:                :00+00000+000000000
0100:002:221021:123202:0347:002:S:100:0014:   8018190030839+00100010*000000071
0100:002:221021:123202:0347:003:W:100:0000:   8018190030839:00000000+000000000
0100:002:221021:123222:0347:004:S:100:0014:   8018190030839+00050010*000000071
0100:002:221021:123222:0347:005:W:100:0000:   8018190030839:00000000+000000000
0100:002:221021:123237:0347:006:S:100:0014:   8018190030839+00030010*000000071
0100:002:221021:123237:0347:007:W:100:0000:   8018190030839:00000000+000000000
0100:002:221021:123248:0347:008:V:101:0008:           00.0%:00+00018+000001278
0100:002:221021:123248:0347:009:V:100:0008:           00.0%:00+00018+000000000
0100:002:221021:123248:0347:010:T:111:0008:                :30+00001+000008435
0100:002:221021:123248:0347:011:T:112:0008:         0.00100:30+00001+000001278
0100:002:221021:123248:0347:012:F:100:0008:                :00+00018+000001278
0100:002:221021:123331:0348:001:H:100:0008:                :00+00000+000000000
